STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT06,WT08
USW00024131,"BOISE AIR TERMINAL, ID US",1/10/2021,8.95,,0,0,0,34,39,28,140,140,15,21.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/11/2021,7.16,,0,0,0,31,41,24,150,160,18.1,23.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/12/2021,10.96,,0.12,0,0,35,43,29,120,120,19.9,28,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/13/2021,12.3,,0.1,0,0,45,50,29,120,110,25.1,32,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/14/2021,3.8,,0,0,0,36,47,28,280,260,8.9,13,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/15/2021,4.25,,0,0,0,33,38,27,310,320,15,19,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/16/2021,2.01,,0,0,0,31,42,24,300,230,8.1,11,1,1,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/17/2021,4.25,,0,0,0,34,43,28,300,300,14.1,17,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/18/2021,6.26,,0,0,0,33,45,26,320,300,18.1,25.9,1,1,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/19/2021,3.8,,0,0,0,31,43,21,130,170,12.1,15,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/20/2021,5.37,,0,0,0,31,44,23,120,130,12.1,16.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/21/2021,2.91,,0.02,0,0,34,42,29,180,180,10.1,14.1,1,1,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/22/2021,4.03,,0.04,0,0,34,38,32,320,290,12.1,15,1,1,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/23/2021,8.95,,0,0,0,33,41,25,300,310,23,30,1,1,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/24/2021,10.51,,0,0,0,30,40,24,120,110,17,23,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/25/2021,5.82,,0,0,0,31,36,26,300,300,12.1,15,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/26/2021,8.05,,0,0,0,29,38,22,120,110,25.1,34,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/27/2021,20.8,,0,0,0,37,47,32,120,130,35.1,47,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/28/2021,15.88,,0,0,0,44,52,40,110,110,28,35.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/29/2021,2.91,,0.28,0,0,40,42,34,150,150,12.1,15,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/30/2021,5.82,,0,0,0,37,49,31,90,100,15,18.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/31/2021,14.09,,0,0,0,41,52,34,140,160,25.9,36,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/1/2021,12.75,,0,0,0,42,55,35,140,130,23,32,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/2/2021,13.42,,0.12,0,0,49,59,37,210,140,30,38.9,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/3/2021,4.92,,0.01,0,0,38,40,31,240,250,13,17,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/4/2021,3.58,,0,0,0,33,42,25,320,330,14.1,17,1,1,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/5/2021,9.17,,0.01,0,0,40,50,35,320,320,25.1,35.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/6/2021,7.61,,0,0,0,39,51,28,310,310,23.9,34,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/7/2021,7.61,,0,0,0,42,48,31,320,330,23,31.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/8/2021,4.03,,0,0,0,33,42,22,320,330,15,19.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/9/2021,3.58,,0,0,0,35,46,26,280,280,10.1,19,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/10/2021,4.47,,0,0,0,33,50,21,360,360,14.1,18.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/11/2021,1.57,,0.14,1,0,33,37,27,170,170,8.1,8.9,1,,,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",2/12/2021,6.04,,0.29,4.4,2,31,32,27,300,290,13,15,1,1,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/13/2021,4.47,,0.52,5.5,7.1,28,31,21,300,300,18.1,21.9,1,1,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/14/2021,6.04,,0,0,9.1,26,33,14,140,160,16.1,21,1,1,,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",2/15/2021,8.5,,0.3,0.9,7.1,33,39,32,120,120,16.1,21,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/16/2021,7.61,,0.05,0,5.1,36,40,33,300,300,25.1,33.1,1,,,,,
